date;time;type;value;unit
11/02/2015;16:13:02.351;indoor relative humidity;27.0;%
11/02/2015;16:13:04.991;indoor temperature;21.7;°C
11/02/2015;16:13:09.991;volatile organic compounds;0.13;ppm
11/02/2015;16:13:16.181;carbon dioxide;570;ppm
11/02/2015;16:14:00.373;indoor relative humidity;27.0;%
11/02/2015;16:15:01.385;indoor relative humidity;27.0;%
11/02/2015;16:16:01.448;indoor relative humidity;27.0;%
11/02/2015;16:16:07.388;indoor temperature;21.7;°C
11/02/2015;16:16:09.898;volatile organic compounds;0.13;ppm
11/02/2015;16:16:16.398;carbon dioxide;570;ppm
11/02/2015;16:16:59.990;indoor relative humidity;27.0;%
11/02/2015;16:18:00.362;indoor relative humidity;27.0;%
11/02/2015;16:18:59.865;indoor relative humidity;27.0;%
11/02/2015;16:19:07.695;indoor temperature;21.7;°C
11/02/2015;16:19:10.205;volatile organic compounds;0.13;ppm
11/02/2015;16:19:15.495;carbon dioxide;567;ppm
11/02/2015;16:20:02.677;indoor relative humidity;27.0;%
11/02/2015;16:21:01.560;indoor relative humidity;27.0;%
11/02/2015;16:22:01.773;indoor relative humidity;27.0;%
11/02/2015;16:22:07.693;indoor temperature;21.7;°C
11/02/2015;16:22:10.173;volatile organic compounds;0.13;ppm
11/02/2015;16:22:16.314;carbon dioxide;576;ppm
11/02/2015;16:23:01.666;indoor relative humidity;27.0;%
11/02/2015;16:24:00.278;indoor relative humidity;27.0;%
11/02/2015;16:25:02.461;indoor relative humidity;27.0;%
11/02/2015;16:25:07.201;indoor temperature;21.7;°C
11/02/2015;16:25:11.981;volatile organic compounds;0.13;ppm
11/02/2015;16:25:15.311;carbon dioxide;573;ppm
11/02/2015;16:26:02.063;indoor relative humidity;27.0;%
11/02/2015;16:27:00.376;indoor relative humidity;27.0;%
11/02/2015;16:28:01.980;indoor relative humidity;27.0;%
11/02/2015;16:28:07.681;indoor temperature;21.7;°C
11/02/2015;16:28:09.981;volatile organic compounds;0.13;ppm
11/02/2015;16:28:16.711;carbon dioxide;573;ppm
11/02/2015;16:29:02.783;indoor relative humidity;27.0;%
11/02/2015;16:30:01.496;indoor relative humidity;27.0;%
11/02/2015;16:31:02.768;indoor relative humidity;27.0;%
11/02/2015;16:31:07.888;indoor temperature;21.7;°C
11/02/2015;16:31:10.488;volatile organic compounds;0.13;ppm
11/02/2015;16:31:16.599;carbon dioxide;576;ppm
11/02/2015;16:32:01.170;indoor relative humidity;27.0;%
11/02/2015;16:33:01.973;indoor relative humidity;27.0;%
11/02/2015;16:34:02.857;indoor relative humidity;27.0;%
11/02/2015;16:34:07.297;indoor temperature;21.8;°C
11/02/2015;16:34:10.797;volatile organic compounds;0.13;ppm
11/02/2015;16:34:17.327;carbon dioxide;576;ppm
11/02/2015;16:35:00.369;indoor relative humidity;27.0;%
11/02/2015;16:36:01.591;indoor relative humidity;27.0;%
11/02/2015;16:37:00.174;indoor relative humidity;28.0;%
11/02/2015;16:37:06.194;indoor temperature;21.7;°C
11/02/2015;16:37:11.994;volatile organic compounds;0.13;ppm
11/02/2015;16:37:15.024;carbon dioxide;576;ppm
11/02/2015;16:38:01.096;indoor relative humidity;28.0;%
11/02/2015;16:39:02.789;indoor relative humidity;28.0;%
11/02/2015;16:40:00.771;indoor relative humidity;28.0;%
11/02/2015;16:40:06.781;indoor temperature;21.7;°C
11/02/2015;16:40:12.721;volatile organic compounds;0.13;ppm
11/02/2015;16:40:14.911;carbon dioxide;576;ppm
11/02/2015;16:41:01.573;indoor relative humidity;28.0;%
11/02/2015;16:42:00.075;indoor relative humidity;28.0;%
11/02/2015;16:43:02.988;indoor relative humidity;28.0;%
11/02/2015;16:43:07.388;indoor temperature;21.7;°C
11/02/2015;16:43:12.298;volatile organic compounds;0.14;ppm
11/02/2015;16:43:15.288;carbon dioxide;576;ppm
11/02/2015;16:44:02.390;indoor relative humidity;28.0;%
11/02/2015;16:45:00.492;indoor relative humidity;28.0;%
11/02/2015;16:46:01.886;indoor relative humidity;28.0;%
11/02/2015;16:46:07.776;indoor temperature;21.6;°C
11/02/2015;16:46:12.606;volatile organic compounds;0.14;ppm
11/02/2015;16:46:15.506;carbon dioxide;582;ppm
11/02/2015;16:47:01.398;indoor relative humidity;28.0;%
11/02/2015;16:48:00.590;indoor relative humidity;28.0;%
11/02/2015;16:49:00.683;indoor relative humidity;28.0;%
11/02/2015;16:49:06.383;indoor temperature;21.6;°C
11/02/2015;16:49:12.493;volatile organic compounds;0.14;ppm
11/02/2015;16:49:15.424;carbon dioxide;576;ppm
11/02/2015;16:49:59.975;indoor relative humidity;28.0;%
11/02/2015;16:51:02.378;indoor relative humidity;28.0;%
11/02/2015;16:52:01.181;indoor relative humidity;28.0;%
11/02/2015;16:52:05.491;indoor temperature;21.7;°C
11/02/2015;16:52:10.321;volatile organic compounds;0.14;ppm
11/02/2015;16:52:17.402;carbon dioxide;576;ppm
11/02/2015;16:53:01.473;indoor relative humidity;28.0;%
11/02/2015;16:54:01.576;indoor relative humidity;28.0;%
11/02/2015;16:55:01.088;indoor relative humidity;28.0;%
11/02/2015;16:55:06.788;indoor temperature;21.7;°C
11/02/2015;16:55:12.658;volatile organic compounds;0.14;ppm
11/02/2015;16:55:14.889;carbon dioxide;582;ppm
11/02/2015;16:56:01.380;indoor relative humidity;28.0;%
11/02/2015;16:56:59.883;indoor relative humidity;28.0;%
11/02/2015;16:58:00.896;indoor relative humidity;28.0;%
11/02/2015;16:58:06.396;indoor temperature;21.7;°C
11/02/2015;16:58:11.487;volatile organic compounds;0.14;ppm
11/02/2015;16:58:17.597;carbon dioxide;582;ppm
11/02/2015;16:59:01.778;indoor relative humidity;28.0;%
11/02/2015;17:00:00.081;indoor relative humidity;28.0;%
11/02/2015;17:01:02.674;indoor relative humidity;28.0;%
11/02/2015;17:01:07.394;indoor temperature;21.7;°C
11/02/2015;17:01:11.884;volatile organic compounds;0.14;ppm
11/02/2015;17:01:16.704;carbon dioxide;582;ppm
11/02/2015;17:02:01.666;indoor relative humidity;28.0;%
11/02/2015;17:03:00.168;indoor relative humidity;28.0;%
11/02/2015;17:04:01.181;indoor relative humidity;28.0;%
11/02/2015;17:04:05.891;indoor temperature;21.8;°C
11/02/2015;17:04:12.012;volatile organic compounds;0.14;ppm
11/02/2015;17:04:14.892;carbon dioxide;576;ppm
11/02/2015;17:05:00.274;indoor relative humidity;28.0;%
11/02/2015;17:06:01.388;indoor relative humidity;28.0;%
11/02/2015;17:07:02.690;indoor relative humidity;28.0;%
11/02/2015;17:07:05.300;indoor temperature;21.8;°C
11/02/2015;17:07:11.411;volatile organic compounds;0.14;ppm
11/02/2015;17:07:16.491;carbon dioxide;576;ppm
11/02/2015;17:08:00.293;indoor relative humidity;28.0;%
11/02/2015;17:09:01.185;indoor relative humidity;28.0;%
11/02/2015;17:10:00.079;indoor relative humidity;28.0;%
11/02/2015;17:10:07.679;indoor temperature;21.8;°C
11/02/2015;17:10:12.209;volatile organic compounds;0.14;ppm
11/02/2015;17:10:17.499;carbon dioxide;576;ppm
11/02/2015;17:10:59.901;indoor relative humidity;28.0;%
11/02/2015;17:12:00.283;indoor relative humidity;28.0;%
11/02/2015;17:13:02.486;indoor relative humidity;28.0;%
11/02/2015;17:13:04.886;indoor temperature;21.7;°C
11/02/2015;17:13:10.096;volatile organic compounds;0.14;ppm
11/02/2015;17:13:16.117;carbon dioxide;576;ppm
11/02/2015;17:13:59.988;indoor relative humidity;28.0;%
11/02/2015;17:15:01.201;indoor relative humidity;28.0;%
11/02/2015;17:16:02.163;indoor relative humidity;28.0;%
11/02/2015;17:16:07.103;indoor temperature;21.7;°C
11/02/2015;17:16:12.804;volatile organic compounds;0.14;ppm
11/02/2015;17:16:15.694;carbon dioxide;582;ppm
11/02/2015;17:17:02.856;indoor relative humidity;28.0;%
11/02/2015;17:18:00.098;indoor relative humidity;28.0;%
11/02/2015;17:19:01.380;indoor relative humidity;28.0;%
11/02/2015;17:19:05.790;indoor temperature;21.7;°C
11/02/2015;17:19:10.291;volatile organic compounds;0.14;ppm
11/02/2015;17:19:15.681;carbon dioxide;582;ppm
11/02/2015;17:20:02.093;indoor relative humidity;28.0;%
11/02/2015;17:21:01.866;indoor relative humidity;28.0;%
11/02/2015;17:22:02.288;indoor relative humidity;28.0;%
11/02/2015;17:22:04.898;indoor temperature;21.6;°C
11/02/2015;17:22:10.919;volatile organic compounds;0.14;ppm
11/02/2015;17:22:16.929;carbon dioxide;585;ppm
11/02/2015;17:23:00.281;indoor relative humidity;28.0;%
11/02/2015;17:24:02.193;indoor relative humidity;28.0;%
11/02/2015;17:25:00.385;indoor relative humidity;28.0;%
11/02/2015;17:25:06.095;indoor temperature;21.8;°C
11/02/2015;17:25:10.896;volatile organic compounds;0.14;ppm
11/02/2015;17:25:17.326;carbon dioxide;585;ppm
11/02/2015;17:26:01.198;indoor relative humidity;28.0;%
11/02/2015;17:26:59.980;indoor relative humidity;28.0;%
11/02/2015;17:28:00.102;indoor relative humidity;28.0;%
11/02/2015;17:28:07.792;indoor temperature;21.6;°C
11/02/2015;17:28:12.613;volatile organic compounds;0.14;ppm
11/02/2015;17:28:17.613;carbon dioxide;585;ppm
11/02/2015;17:29:00.394;indoor relative humidity;28.0;%
11/02/2015;17:30:01.887;indoor relative humidity;28.0;%
11/02/2015;17:31:01.190;indoor relative humidity;28.0;%
11/02/2015;17:31:06.310;indoor temperature;21.7;°C
11/02/2015;17:31:12.210;volatile organic compounds;0.14;ppm
11/02/2015;17:31:15.230;carbon dioxide;585;ppm
11/02/2015;17:32:00.793;indoor relative humidity;28.0;%
11/02/2015;17:33:01.596;indoor relative humidity;28.0;%
11/02/2015;17:34:02.679;indoor relative humidity;28.0;%
11/02/2015;17:34:05.189;indoor temperature;21.7;°C
11/02/2015;17:34:11.119;volatile organic compounds;0.14;ppm
11/02/2015;17:34:17.619;carbon dioxide;585;ppm
11/02/2015;17:35:01.901;indoor relative humidity;28.0;%
11/02/2015;17:36:02.703;indoor relative humidity;28.0;%
11/02/2015;17:37:01.506;indoor relative humidity;28.0;%
11/02/2015;17:37:05.986;indoor temperature;21.6;°C
11/02/2015;17:37:10.897;volatile organic compounds;0.14;ppm
11/02/2015;17:37:15.807;carbon dioxide;591;ppm
11/02/2015;17:38:02.699;indoor relative humidity;28.0;%
11/02/2015;17:39:00.301;indoor relative humidity;28.0;%
11/02/2015;17:40:00.373;indoor relative humidity;28.0;%
11/02/2015;17:40:06.483;indoor temperature;21.7;°C
11/02/2015;17:40:12.294;volatile organic compounds;0.14;ppm
11/02/2015;17:40:17.924;carbon dioxide;585;ppm
11/02/2015;17:41:02.206;indoor relative humidity;28.0;%
11/02/2015;17:42:00.798;indoor relative humidity;28.0;%
11/02/2015;17:43:03.000;indoor relative humidity;28.0;%
11/02/2015;17:43:07.701;indoor temperature;21.6;°C
